	Green	Pink	Brown	S1	S2
denovo20317	0	1	0	0	0
denovo20314	0	0	1	0	0
denovo20315	0	5	0	1	4
denovo24808	0	1	0	0	0
denovo24809	0	1	0	0	0
denovo18658	0	1	0	0	0
denovo18659	0	0	0	1	0
denovo18654	0	0	1	0	0
denovo18655	0	1	1	0	1
denovo18656	0	0	0	1	0
denovo18657	0	1	0	0	0
denovo18650	0	0	0	0	1
denovo18651	1	0	0	0	0
denovo18652	0	0	0	1	0
denovo18653	0	0	0	1	0
denovo15824	0	0	0	1	0
denovo15825	0	1	0	0	0
denovo15826	0	1	0	0	0
denovo15827	1	0	0	0	0
denovo15820	0	0	0	1	0
denovo15821	0	0	0	0	1
denovo15822	1	0	0	0	0
denovo15823	0	0	0	0	1
denovo15828	1	0	0	0	0
denovo15829	0	0	0	0	1
denovo16551	0	0	1	0	0
denovo16550	1	0	0	0	0
denovo16553	0	0	1	0	0
denovo16552	0	1	0	0	0
denovo16555	12	0	0	0	0
denovo16554	0	0	1	0	0
denovo16557	0	0	0	0	1
denovo16556	0	0	0	1	0
denovo16559	0	0	1	0	0
denovo16558	0	0	1	0	0
denovo23469	0	1	0	3	3
denovo23468	0	0	1	0	0
denovo23461	0	0	1	0	0
denovo23460	1	0	0	0	0
denovo23463	0	0	0	1	0
denovo23462	0	0	0	1	0
denovo23465	0	1	0	0	0
denovo23464	0	0	0	1	0
denovo23467	0	1	0	0	0
denovo23466	0	0	1	0	0
denovo24118	0	0	0	1	0
denovo24119	0	0	0	1	0
denovo24110	1	0	0	0	0
denovo24111	1	0	0	0	0
denovo24112	1	0	0	0	0
denovo24113	0	0	0	1	0
denovo24114	1	0	0	0	0
denovo24115	0	1	1	0	0
denovo24116	0	0	1	0	0
denovo24117	0	0	1	0	0
denovo21193	0	0	0	1	0
denovo21192	1	0	0	0	0
denovo21191	0	1	0	0	0
denovo21190	0	0	0	0	1
denovo21197	0	0	0	0	1
denovo21196	0	0	0	1	0
denovo21195	0	0	2	0	0
denovo21194	0	0	0	1	0
denovo21199	0	2	0	0	0
denovo21198	0	0	0	1	0
denovo1255	0	0	1	0	0
denovo1254	0	0	1	0	0
denovo1257	0	0	0	0	1
denovo1256	0	0	0	2	0
denovo1251	0	0	0	1	0
denovo1250	0	1	0	0	0
denovo1253	0	1	0	0	0
denovo1252	0	1	0	0	0
denovo1259	0	0	1	0	0
denovo1258	1	0	0	0	0
